Date,Open,High,Low,Close,Adj Close,Volume
2018-12-07,50.334999,50.610001,49.974998,50.230000,49.878468,1674000
2018-12-10,48.965000,48.970001,47.029999,47.639999,47.306595,3310800
2018-12-11,48.355000,48.500000,47.529999,47.779999,47.445614,1810400
2018-12-12,48.950001,49.744999,48.849998,49.334999,48.989731,2669200
2018-12-13,49.544998,50.509998,49.500000,50.380001,50.027416,2372200
2018-12-14,49.794998,50.439999,49.544998,50.220001,49.868538,1569800
2018-12-17,50.595001,51.169998,50.349998,50.500000,50.146576,1625800
2018-12-18,51.235001,51.544998,51.195000,51.294998,50.936016,2247000
2018-12-19,51.325001,51.990002,51.099998,51.555000,51.194195,2579200
2018-12-20,51.930000,52.250000,51.264999,51.400002,51.040279,1622600
2018-12-21,51.055000,51.084999,50.139999,50.200001,49.848679,1535000
2018-12-24,50.090000,50.549999,49.825001,50.099998,49.749374,635200
2018-12-26,50.514999,51.264999,50.514999,50.994999,50.638111,1283000
2018-12-27,50.395000,51.224998,50.380001,51.130001,50.772171,1601800
2018-12-28,51.200001,52.005001,51.000000,51.570000,51.209087,1037400
2018-12-31,51.794998,51.889999,51.005001,51.794998,51.432514,1112200
2019-01-02,51.384998,51.924999,51.384998,51.834999,51.472233,824400
2019-01-03,51.060001,51.285000,50.794998,50.910000,50.553711,948000
2019-01-04,51.195000,51.974998,51.139999,51.790001,51.427551,1104600
2019-01-07,51.540001,51.705002,51.185001,51.525002,51.164406,1117800
2019-01-08,51.174999,52.049999,51.055000,51.904999,51.541744,1693400
2019-01-09,51.855000,51.915001,51.154999,51.450001,51.089931,1895400
2019-01-10,51.360001,51.459999,51.005001,51.340000,50.980698,797200
2019-01-11,51.060001,51.474998,51.005001,51.320000,50.960838,704800
2019-01-14,50.930000,50.930000,50.404999,50.430000,50.077068,1183200
2019-01-15,50.709999,51.134998,50.669998,51.134998,50.777134,1132600
2019-01-16,51.020000,51.555000,50.740002,51.099998,50.742378,1254400
2019-01-17,51.115002,51.535000,51.055000,51.435001,51.075039,1009800
2019-01-18,51.384998,51.709999,51.189999,51.674999,51.313354,1236000
2019-01-22,51.299999,51.599998,50.665001,50.959999,50.603359,1779200
2019-01-23,50.849998,50.930000,50.134998,50.185001,49.833786,1572600
2019-01-24,50.220001,50.340000,49.590000,49.625000,49.277702,3368000
2019-01-25,49.924999,50.099998,49.505001,49.570000,49.223087,1468800
2019-01-28,49.505001,49.505001,48.974998,49.080002,48.736515,1351600
2019-01-29,48.799999,48.900002,48.040001,48.250000,47.912327,1693600
2019-01-30,48.205002,48.205002,47.250000,47.869999,47.534981,2743400
2019-01-31,48.410000,49.365002,48.275002,49.110001,48.766304,1864600
2019-02-01,49.080002,49.660000,48.970001,49.529999,49.183369,1463200
2019-02-04,49.485001,49.595001,48.974998,49.529999,49.183369,1099200
2019-02-05,49.785000,49.994999,49.509998,49.919998,49.570637,817600
2019-02-06,49.985001,50.285000,49.764999,50.130001,49.779167,674600
2019-02-07,50.044998,50.384998,50.029999,50.294998,49.943012,1649000
2019-02-08,50.224998,50.525002,50.009998,50.145000,49.794064,767800
2019-02-11,50.535000,51.049999,50.150002,50.275002,49.923157,1024200
2019-02-12,50.849998,51.040001,50.724998,50.994999,50.638111,1449000
2019-02-13,50.865002,50.865002,50.345001,50.695000,50.340214,1376400
2019-02-14,50.110001,50.369999,50.020000,50.115002,49.764275,1405400
2019-02-15,49.895000,50.185001,49.494999,50.090000,49.739449,1558400
2019-02-19,49.619999,49.735001,49.029999,49.169998,48.825882,2082800
2019-02-20,49.665001,49.950001,49.570000,49.825001,49.476303,1705800
2019-02-21,49.834999,50.259998,49.715000,50.040001,49.689796,879600
2019-02-22,49.895000,50.325001,49.750000,50.119999,49.769238,1178400
2019-02-25,50.270000,51.209999,50.270000,50.935001,50.578533,1121800
2019-02-26,50.349998,50.615002,50.080002,50.410000,50.057205,970400
2019-02-27,49.970001,50.235001,49.549999,50.169998,49.818886,845800
2019-02-28,50.130001,50.810001,50.049999,50.560001,50.206161,1924600
2019-03-01,50.279999,50.485001,49.799999,50.220001,49.868538,1525000
2019-03-04,50.025002,50.244999,49.775002,50.220001,49.868538,1175800
2019-03-05,50.580002,51.330002,50.580002,51.189999,50.831749,1227000
2019-03-06,51.154999,51.639999,50.810001,51.490002,51.129650,2458600
2019-03-07,51.709999,51.709999,51.285000,51.375000,51.015457,1037400
2019-03-08,51.555000,52.064999,51.555000,51.990002,51.626152,1188600
2019-03-11,52.340000,53.224998,52.340000,53.125000,52.753208,1163900
2019-03-12,53.465000,54.115002,53.389999,53.955002,53.577400,848300
2019-03-13,54.549999,55.430000,54.500000,55.220001,54.833546,940600
2019-03-14,54.955002,55.259998,54.860001,55.224998,54.838509,575700
2019-03-15,55.625000,56.279999,55.625000,55.990002,55.598160,683700
2019-03-18,56.365002,56.945000,56.279999,56.764999,56.367733,590100
2019-03-19,56.849998,56.919998,56.189999,56.250000,55.856339,704900
2019-03-20,56.950001,57.419998,56.834999,56.990002,56.591160,773700
2019-03-21,56.805000,57.174999,56.709999,56.919998,56.521648,453200
2019-03-22,56.470001,56.630001,56.119999,56.160000,55.766968,547300
2019-03-25,56.459999,56.669998,55.945000,56.084999,55.692493,791700
2019-03-26,56.950001,57.580002,56.945000,57.474998,57.072765,604700
2019-03-27,57.125000,57.139999,56.555000,57.105000,56.705353,565800
2019-03-28,56.955002,57.130001,56.779999,56.814999,56.417381,425500
2019-03-29,57.200001,57.955002,57.064999,57.955002,57.549408,874700
2019-04-01,58.080002,58.125000,57.099998,57.650002,57.246540,492400
2019-04-02,57.575001,58.044998,57.380001,57.794998,57.390522,645500
2019-04-03,57.895000,58.029999,57.570000,57.660000,57.256470,483800
2019-04-04,57.395000,57.419998,56.869999,57.049999,56.650738,652900
2019-04-05,57.424999,57.564999,57.075001,57.139999,56.740108,391000
2019-04-08,56.700001,57.134998,56.560001,57.125000,56.725212,481100
2019-04-09,56.645000,57.220001,56.485001,57.029999,56.630878,647000
2019-04-10,56.314999,56.525002,55.900002,56.514999,56.119484,1011900
2019-04-11,56.625000,56.840000,56.235001,56.459999,56.064865,417100
2019-04-12,56.705002,56.744999,56.529999,56.715000,56.318085,440200
2019-04-15,56.865002,57.139999,56.700001,57.070000,56.670597,438300
2019-04-16,57.290001,57.820000,57.220001,57.715000,57.311085,321700
2019-04-17,57.939999,58.055000,57.310001,57.720001,57.316048,672700
2019-04-18,57.570000,57.994999,57.445000,57.959999,57.554371,537000
2019-04-22,56.950001,57.685001,56.514999,57.549999,57.147236,591900
2019-04-23,57.064999,57.290001,56.525002,57.084999,56.685490,661300
2019-04-24,57.310001,58.115002,57.189999,58.000000,57.594093,777200
